ProviderId,Name,Upin,DateOpened,DateClosed
10089753,Soar Valley College,134188,2022-04-01,NULL
10089752,The City of Leicester College,141621,2022-04-01,NULL
10084106,Holy Trinity CofE Infant School,140541,2019-11-01,NULL
10086804,Lowe's Wong Infant School,140563,2021-04-01,NULL
10083592,Bleasby Church of England Primary School,140500,2019-07-01,NULL
10083018,Farnsfield St Michael's Church of England Primary School,140517,2019-05-01,NULL
10082953,Galliard Primary School,141226,2019-04-01,NULL
10082967,St George's Primary Catholic Voluntary Academy,141059,2019-05-01,NULL
10082964,St Joseph's Catholic Primary School,141056,2019-05-01,NULL
10082965,The Sacred Heart Language College,141090,2019-05-01,NULL
10082966,St John Fisher Catholic Primary School,141058,2019-05-01,NULL
10083495,St Augustine's Catholic School - a Catholic voluntary academy,151974,2019-06-01,NULL
10083496,St Francis Xavier School - a Joint Catholic and Church of England Voluntary Academy,151975,2019-06-01,NULL
10083662,St Mary's Catholic Primary School - a Catholic voluntary academy,151968,2019-07-01,NULL
10083660,St Mary's Catholic Primary School - a Catholic voluntary academy,151970,2019-07-01,NULL
10084131,St Aelred's Catholic Primary School - a Catholic Voluntary Academy,162203,2019-09-01,NULL
10083661,St Joseph's Catholic Primary School - a Catholic voluntary academy,151967,2019-07-01,NULL
10083917,St Peter's Catholic Primary School - a Catholic voluntary academy,152021,2019-08-01,NULL
10080307,St George's Catholic Primary School - a Catholic voluntary academy,151966,2019-06-01,NULL
10083916,St Benedict's Catholic Primary School - a Catholic voluntary academy,152017,2019-08-01,NULL
10083613,St Mary's Catholic Primary School - a Catholic voluntary academy,152023,2019-07-01,NULL
10083611,St Mary & St Joseph Catholic Primary School - a Catholic voluntary academy,152024,2019-07-01,NULL
10083612,St John of Beverley Catholic Primary School - a Catholic voluntary academy,152025,2019-07-01,NULL
10084132,St Wilfrid's Catholic Primary School - a Catholic Voluntary Academy,162232,2019-09-01,NULL
10084130,St George's Catholic Primary School - a Catholic Voluntary Academy,162211,2019-09-01,NULL
10083918,Sacred Heart Catholic Primary School - a Catholic voluntary academy,152018,2019-08-01,NULL
10084133,Our Lady Queen of Martyrs Catholic Primary School - a Catholic Voluntary Academy,162187,2019-09-01,NULL
10086751,All Saints RC School,152137,2021-09-01,NULL
10065149,Esher Sixth Form College,139291,2019-09-01,NULL
10084213,Wright Robinson College,120979,2019-11-01,NULL
10084207,Grangetown Primary School,151890,2019-09-01,NULL
10084206,Whale Hill Primary School,151912,2019-09-01,NULL
10084205,Bankfields Primary School,151877,2019-09-01,NULL
10084204,Caedmon Primary School,151880,2019-09-01,NULL
10084134,Tennyson Road Primary School,162236,2019-09-01,NULL
10087067,Hawthorn Park Community Primary,151861,2021-03-01,NULL
10088070,Royds Academy,163324,2021-04-01,NULL
10087550,St Matthew's RC High School,162682,2021-06-01,NULL
10089115,"Mount Carmel RC Primary School, a Voluntary Academy",163491,2021-12-01,NULL
10086302,"St Antony's Roman Catholic School, a Voluntary Academy",162761,2020-07-01,NULL
10086814,"St Anne's Roman Catholic High School, A Voluntary Academy",139559,2020-11-01,NULL
10087332,"St Chad's Roman Catholic Primary School, a Voluntary Academy",163176,2021-01-01,NULL
10088764,Kensington Queensmill School,163428,2021-09-01,NULL
10086801,Queensmill School,162192,2021-06-01,NULL
10087560,Khalsa Primary School,163181,2021-02-01,NULL
10086770,St Peter's Catholic School,162948,2021-04-01,NULL
10086771,St George and St Teresa Catholic Primary School,162940,2021-04-01,NULL
10086762,Our Lady of Compassion Catholic Primary School,162925,2021-04-01,NULL
10086767,St John the Baptist Catholic Primary School,162938,2021-04-01,NULL
10086758,Our Lady of the Wayside Catholic Primary School,162926,2021-04-01,NULL
10086761,St Anne's Catholic Primary School,162931,2021-04-01,NULL
10086772,St Andrew's Catholic Primary School,162932,2021-04-01,NULL
10086765,St Augustine's Catholic Primary School,162945,2021-04-01,NULL
10082990,Sparkenhoe Community Primary School,151711,2019-04-01,NULL
10082994,The Limes College,134280,2019-06-01,NULL
10086859,North West Kent Alternative Provision Service,141642,2020-09-01,NULL
10090191,Will Adams Academy,163608,2022-04-01,NULL
10083617,Queen's Croft High School,141266,2019-09-01,NULL
10083618,The Friary School,141094,2019-09-01,NULL
10083619,Henry Chadwick Primary School,141237,2019-09-01,NULL
10086146,Stubbin Wood School,162444,2020-06-01,NULL
10086148,Model Village Primary School,162430,2020-06-01,NULL
10086147,Whaley Thorns Primary School,162447,2020-06-01,NULL
10087079,Halterworth Primary School,163016,2020-12-01,NULL
10087082,Awbridge Primary School,163009,2020-12-01,NULL
10087081,Wellow Primary School,163032,2020-12-01,NULL
10088763,Highwood Copse Primary School,163426,2021-09-01,NULL
10090066,Corpus Christi Catholic Primary School,163680,2022-03-01,NULL
10090056,St Joseph's Catholic Primary and Nursery School,163687,2022-03-01,NULL
10090054,Our Lady of Mount Carmel Catholic Primary,163684,2022-03-01,NULL
10087058,Garboldisham Church of England Primary Academy,163062,2020-12-01,NULL
10090161,Alburgh With Denton Church of England Primary Academy,138409,2022-06-01,NULL
10086741,Cottingley Village Primary School,162919,2021-02-01,NULL
10087725,Leftwich Community Primary School,163279,2021-04-01,NULL
10086004,Comberbach Nursery and Primary School,133742,2020-05-01,NULL
10089550,Evenwood Church of England Primary School,163480,2021-12-01,NULL
10089549,St Michael's Church of England Primary School,163504,2021-12-01,NULL
10089763,Peel Brow School,163552,2022-03-01,NULL
10087501,Hatchside School,162807,2021-04-01,NULL
10086304,"St Monica's RC High School, a Voluntary Academy",162684,2020-08-01,NULL
10084990,"St Gregory's RC Primary School, A Voluntary Academy",162314,2019-12-01,NULL
10086303,"St Gabriel's RC High School, a Voluntary Academy",162679,2020-11-01,NULL
10086811,"Our Lady & St Paul's RC Primary School, A Voluntary Academy",162675,2020-10-01,NULL
10087354,St John Fisher Catholic Primary School,162762,2021-02-01,NULL
10084190,St Thomas More Catholic Primary School,151866,2019-09-01,NULL
10087330,Wool Church of England Primary School,162767,2021-02-01,NULL
10088916,St Joseph's Catholic Infant School,163461,2021-10-01,NULL
10088914,St Louis Catholic Primary School,163463,2022-02-01,NULL
10088919,St Peter's Catholic Primary School,141070,2021-12-01,NULL
10088917,St Joseph's Catholic Primary School,163462,2021-12-01,NULL
10088915,Our Lady's Catholic Primary School,151896,2021-12-01,NULL
10088918,St Edward's Catholic Junior School,151834,2021-10-01,NULL
10082968,St Pancras Catholic Primary School,151838,2019-04-01,NULL
10084194,St Laurence Catholic Primary School,162220,2019-09-01,NULL
10084534,Mereside Church of England Primary Academy,151698,2019-10-01,NULL
10088872,St Peter's Bratton Church of England Academy,163501,2021-09-01,NULL
10065463,Brewood Middle CofE Academy,139912,2019-10-01,NULL
10088065,Charter Academy,163125,2021-04-01,NULL
10086830,Keep Hatch Primary School,162610,2021-01-01,NULL
10082989,Beechwood Primary School,151791,2019-09-01,NULL
10087329,Witton Middle School,162958,2020-12-01,NULL
10084225,St Nicholas CE Primary Academy,162240,2019-09-01,NULL
10082935,Wyberton Primary Academy,151858,2019-04-01,NULL
10087567,The Pinchbeck East Church of England Primary Academy,163187,2021-03-01,NULL
10087566,Spalding Primary Academy,163184,2021-03-01,NULL
10082936,St Thomas CofE Primary Academy,151843,2019-04-01,NULL
10084105,Bewley Primary School,152146,2019-09-01,NULL
10082913,Levendale Primary School,141344,2019-04-01,NULL
10084718,Matthew Moss High School,162180,2019-11-01,NULL
10087297,Greysbrooke Primary School,163063,2021-04-01,NULL
10085824,Coton Green Primary School,162352,2020-04-01,NULL
10089104,St Chad's CofE Primary School,163348,2022-02-01,NULL
10089105,St Michael's CofE (C) Primary School,163354,2022-02-01,NULL
10086800,Osborne Primary School,162434,2021-04-01,NULL
10064829,John Willmott School,139539,2019-07-01,NULL
10083658,Waltham Holy Cross Primary Academy,141637,2019-11-01,NULL
10082710,Jesmond Park Academy,141111,2019-08-01,NULL
10088759,Great Park Academy,163422,2021-09-01,NULL
10088743,Callerton Academy,163406,2021-09-01,NULL
10085841,Wheatfields Junior Mixed School,162249,2020-09-01,NULL
10089755,Skyswood Primary & Nursery School,163369,2022-02-01,NULL
10085842,Wheatfields Infants' and Nursery School,151853,2020-09-01,NULL
10087746,Garden Fields Junior Mixed and Infant School,162168,2021-09-01,NULL
10088737,Avanti Meadows Primary School,163400,2021-09-01,NULL
10088815,Houlton School,163427,2021-09-01,NULL
10085415,Hillside Primary School,162356,2020-02-01,NULL
10087320,Kirkheaton Primary School,163134,2021-02-01,NULL
10085010,Heathfields Infant Academy,152009,2020-03-01,NULL
