New UPIN,Month,Year,,,,,,
141648,9,2019,,,,,,
162255,9,2019,,,,,,
134426,9,2019,,,,,,
162313,9,2019,,,,,,
151976,9,2019,,,,,,
152007,9,2019,,,,,,
151984,9,2019,,,,,,
140505,9,2019,,,,,,
141237,9,2019,,,,,,
123521,9,2019,,,,,,
114146,9,2019,,,,,,
151818,9,2019,,,,,,
139562,9,2019,,,,,,
151920,9,2019,,,,,,
127399,9,2019,,,,,,
151771,9,2019,,,,,,
151776,9,2019,,,,,,
162288,9,2019,,,,,,
162345,10,2019,,,,,,
152136,10,2019,,,,,,
152140,10,2019,,,,,,
162277,10,2019,,,,,,
152002,10,2019,,,,,,
162320,10,2019,,,,,,
151771,10,2019,,,,,,
141519,10,2019,,,,,,
151963,10,2019,,,,,,
162316,10,2019,,,,,,
139912,10,2019,,,,,,
162148,10,2019,,,,,,
151989,10,2019,,,,,,
151860,10,2019,,,,,,
162149,10,2019,,,,,,
151882,10,2019,,,,,,
151884,10,2019,,,,,,
140505,10,2019,,,,,,
162157,10,2019,,,,,,
162284,10,2019,,,,,,
134426,10,2019,,,,,,
151776,10,2019,,,,,,
140512,10,2019,,,,,,
162317,10,2019,,,,,,
162164,10,2019,,,,,,
162286,10,2019,,,,,,
162165,10,2019,,,,,,
141425,10,2019,,,,,,
151795,10,2019,,,,,,
162170,10,2019,,,,,,
151797,10,2019,,,,,,
152011,10,2019,,,,,,
162292,10,2019,,,,,,
162172,10,2019,,,,,,
162293,10,2019,,,,,,
162311,10,2019,,,,,,
151803,10,2019,,,,,,
141025,10,2019,,,,,,
140561,10,2019,,,,,,
151696,10,2019,,,,,,
162179,10,2019,,,,,,
151805,10,2019,,,,,,
151698,10,2019,,,,,,
162295,10,2019,,,,,,
151813,10,2019,,,,,,
162359,10,2019,,,,,,
162298,10,2019,,,,,,
151979,10,2019,,,,,,
162300,10,2019,,,,,,
162301,10,2019,,,,,,
122072,10,2019,,,,,,
140597,10,2019,,,,,,
140900,10,2019,,,,,,
151734,10,2019,,,,,,
140813,10,2019,,,,,,
151957,10,2019,,,,,,
162204,10,2019,,,,,,
131650,10,2019,,,,,,
162221,10,2019,,,,,,
141444,10,2019,,,,,,
151837,10,2019,,,,,,
141357,10,2019,,,,,,
162223,10,2019,,,,,,
162224,10,2019,,,,,,
162225,10,2019,,,,,,
151920,10,2019,,,,,,
162231,10,2019,,,,,,
151972,10,2019,,,,,,
162306,10,2019,,,,,,
162239,10,2019,,,,,,
162318,10,2019,,,,,,
162241,10,2019,,,,,,
152012,10,2019,,,,,,
141364,10,2019,,,,,,
141637,10,2019,,,,,,
151855,10,2019,,,,,,
162251,10,2019,,,,,,
152136,11,2019,,,,,,
141435,11,2019,,,,,,
151726,11,2019,,,,,,
152002,11,2019,,,,,,
151777,11,2019,,,,,,
162316,11,2019,,,,,,
162148,11,2019,,,,,,
162349,11,2019,,,,,,
151995,11,2019,,,,,,
138239,11,2019,,,,,,
162286,11,2019,,,,,,
162355,11,2019,,,,,,
152010,11,2019,,,,,,
162291,11,2019,,,,,,
162171,11,2019,,,,,,
141533,11,2019,,,,,,
140541,11,2019,,,,,,
138725,11,2019,,,,,,
162358,11,2019,,,,,,
151916,11,2019,,,,,,
162179,11,2019,,,,,,
162180,11,2019,,,,,,
162294,11,2019,,,,,,
162184,11,2019,,,,,,
162297,11,2019,,,,,,
162298,11,2019,,,,,,
162361,11,2019,,,,,,
162362,11,2019,,,,,,
140900,11,2019,,,,,,
151734,11,2019,,,,,,
162209,11,2019,,,,,,
162365,11,2019,,,,,,
162366,11,2019,,,,,,
162369,11,2019,,,,,,
162370,11,2019,,,,,,
131650,11,2019,,,,,,
162221,11,2019,,,,,,
162372,11,2019,,,,,,
151837,11,2019,,,,,,
162373,11,2019,,,,,,
162223,11,2019,,,,,,
162226,11,2019,,,,,,
162307,11,2019,,,,,,
141636,11,2019,,,,,,
162318,11,2019,,,,,,
162241,11,2019,,,,,,
151782,11,2019,,,,,,
162245,11,2019,,,,,,
162247,11,2019,,,,,,
141637,11,2019,,,,,,
162374,11,2019,,,,,,
151855,11,2019,,,,,,
120979,11,2019,,,,,,
152136,12,2019,,,,,,
162416,12,2019,,,,,,
151726,12,2019,,,,,,
162472,12,2019,,,,,,
162347,12,2019,,,,,,
162281,12,2019,,,,,,
162148,12,2019,,,,,,
509901,12,2019,,,,,,
141631,12,2019,,,,,,
162149,12,2019,,,,,,
151882,12,2019,,,,,,
162419,12,2019,,,,,,
162283,12,2019,,,,,,
162285,12,2019,,,,,,
503825,12,2019,,,,,,
152004,12,2019,,,,,,
162286,12,2019,,,,,,
141219,12,2019,,,,,,
152008,12,2019,,,,,,
152009,12,2019,,,,,,
162174,12,2019,,,,,,
141535,12,2019,,,,,,
139341,12,2019,,,,,,
162426,12,2019,,,,,,
162179,12,2019,,,,,,
509894,12,2019,,,,,,
151813,12,2019,,,,,,
162433,12,2019,,,,,,
162298,12,2019,,,,,,
141613,12,2019,,,,,,
141635,12,2019,,,,,,
162314,12,2019,,,,,,
162366,12,2019,,,,,,
162367,12,2019,,,,,,
131650,12,2019,,,,,,
162221,12,2019,,,,,,
162223,12,2019,,,,,,
152014,12,2019,,,,,,
162319,12,2019,,,,,,
162241,12,2019,,,,,,
151782,12,2019,,,,,,
151847,12,2019,,,,,,
152013,12,2019,,,,,,
151855,12,2019,,,,,,
162251,12,2019,,,,,,
162253,12,2019,,,,,,
162375,12,2019,,,,,,
162471,1,2020,,,,,,
132064,1,2020,,,,,,
151725,1,2020,,,,,,
152009,1,2020,,,,,,
132790,1,2020,,,,,,
162360,1,2020,,,,,,
151993,1,2020,,,,,,
162486,1,2020,,,,,,
141444,1,2020,,,,,,
151908,1,2020,,,,,,
162309,1,2020,,,,,,
152012,1,2020,,,,,,
162448,1,2020,,,,,,
152013,1,2020,,,,,,
151782,1,2020,,,,,,
141435,2,2020,,,,,,
162492,2,2020,,,,,,
151678,2,2020,,,,,,
152142,2,2020,,,,,,
151878,2,2020,,,,,,
162346,2,2020,,,,,,
162279,2,2020,,,,,,
151725,2,2020,,,,,,
162149,2,2020,,,,,,
162154,2,2020,,,,,,
162420,2,2020,,,,,,
162159,2,2020,,,,,,
162476,2,2020,,,,,,
141425,2,2020,,,,,,
152008,2,2020,,,,,,
162422,2,2020,,,,,,
